Term name,Parent Term Name,Term description,GUID,Parent GUID
Polydesmus serridens,,,f0177d6d-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Parorthomorpha,,,e34e29eb-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) speluncarum,,,eda9c648-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus remigatus,,,effc3558-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Tracheloaspis,,,e357cf3e-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus scutatus,,,eff64b90-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Parawalesoma,,,e351b75d-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) slovenicus,,Taxonomic status uncertain.,eda9bfcc-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus rastrifer,,,efe058a0-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Tonodesmus,,,e3471a5d-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus sculptus,,,f01786cf-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Paraustraliosoma,,,e34e9d74-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) sketi,,"taxonomic status uncertain, a possible junior synonym of Lithobius matulicii Verhoeff, 1899; non Eupolybothrus sketi Matic, 1979",eda9be85-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus racovitzai,,,efe7857b-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Tijucadesmus,,,e354d97a-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
